发震日期,发震时间,经度(°),纬度(°),震源深度(千米),震级(M),震中位置
2020/7/12,6:38:25,118.44,39.78,10,5.1,河北唐山市古冶区
2020/6/26,5:05:20,82.33,35.73,10,6.4,新疆和田地区于田县
2020/6/14,4:18:59,122.41,24.29,27,5.5,台湾宜兰县海域
2020/5/18,21:47:59,103.16,27.18,8,5,云南昭通市巧家县
2020/5/9,23:35:59,78.76,40.77,15,5.2,新疆阿克苏地区柯坪县
2020/5/6,18:51:00,74.1,39.71,10,5,新疆克孜勒苏州乌恰县
2020/5/3,11:24:40,121.6,23.29,40,5.4,台湾台东县海域
2020/4/1,20:23:27,98.92,33.04,10,5.6,四川甘孜州石渠县
2020/3/23,3:21:39,81.11,41.75,10,5,新疆阿克苏地区拜城县
2020/3/20,9:33:15,87.42,28.63,10,5.9,西藏日喀则市定日县
2020/3/12,23:44:03,85.55,32.88,10,5.1,西藏阿里地区改则县
2020/3/10,2:12:11,85.52,32.84,10,5,西藏阿里地区改则县
2020/2/21,23:39:14,77.47,39.87,10,5.1,新疆喀什地区伽师县
2020/2/21,2:01:40,85.68,34.56,9,5,西藏阿里地区改则县
2020/2/15,19:00:07,121.49,23.95,10,5.4,台湾花莲县
2020/2/3,0:05:41,104.46,30.74,21,5.1,四川成都市青白江区
2020/1/25,6:56:05,95.09,31.98,10,5.1,西藏昌都市丁青县
2020/1/19,22:23:01,77.46,39.89,14,5.2,新疆克孜勒苏州阿图什市
2020/1/19,21:27:55,77.21,39.83,16,6.4,新疆喀什地区伽师县
2020/1/18,0:05:50,77.18,39.83,20,5.4,新疆喀什地区伽师县
2020/1/16,16:32:38,83.6,41.21,16,5.6,新疆阿克苏地区库车县
2019/12/18,8:14:05,104.82,29.59,14,5.2,四川内江市资中县
2019/11/25,9:18:19,106.65,22.89,10,5.2,广西百色市靖西市
2019/10/28,1:56:48,102.69,35.1,10,5.7,甘肃甘南州夏河县
2019/10/27,13:29:45,78.82,41.21,11,5,新疆阿克苏地区乌什县
2019/10/17,19:44:31,122.58,24.02,16,5.1,台湾花莲县海域
2019/10/12,22:55:24,110.51,22.18,10,5.2,广西玉林市北流市
