id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4863533571902508,MqENv7YVC,2730549204,共青团福建省委,正式测定：新疆阿克苏地区沙雅县附近发生6.1级地震，震中附近朋友注意安全，小心强余震，愿平安！#新疆地震##新疆沙雅6.1级地震#（四川观察）L共青团福建省委的微博视频,,,,"新疆地震,新疆沙雅6.1级地震",2,3,10,2023-01-30 08:57,微博视频号,,"http://f.video.weibocdn.com/u0/uikOzMcSgx082KwQgSsE010412004JRg0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687504748&ssig=ETDOQuAjl9&KID=unistore,video",
4863533550141621,MqENt0AQd,2113463832,广东消防,#消防救援队伍已赶往新疆沙雅地震震中#】地震发生后，新疆阿克苏沙雅县消防救援大队前突力量2车10人已赶赴震中踏勘，新疆消防救援总队、新疆森林消防总队共1500人、36犬已就地集结，做好出动准备。据了解，震中20公里范围内人口极其稀少，目前未接到无人员伤亡或房屋倒塌相关警情。#新疆沙雅6.1级地震##新疆地震#L中国消防的微博视频,,,,"消防救援队伍已赶往新疆沙雅地震震中,新疆沙雅6.1级地震,新疆地震",3,22,30,2023-01-30 08:57,微博视频号,,"http://f.video.weibocdn.com/o0/SKdVheWrlx082Kw2YRAc010412001jnc0E010.mp4?label=mp4_hd&template=654x368.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687504748&ssig=8k3eFGd4%2Bv&KID=unistore,video",
4863533496404799,MqENnqSbd,2769635085,廊坊消防,【#消防救援队伍已赶往新疆沙雅地震震中#】地震发生后，新疆阿克苏沙雅县消防救援大队前突力量2车10人已赶赴震中踏勘，新疆消防救援总队、新疆森林消防总队共1500人、36犬已就地集结，做好出动准备。据了解，震中20公里范围内人口极其稀少，目前未接到无人员伤亡或房屋倒塌相关警情。#新疆沙雅6.1级地震##新疆地震#L中国消防的微博视频,,,,"消防救援队伍已赶往新疆沙雅地震震中,新疆沙雅6.1级地震,新疆地震",0,0,0,2023-01-30 08:56,iPhone客户端,,"http://f.video.weibocdn.com/o0/SKdVheWrlx082Kw2YRAc010412001jnc0E010.mp4?label=mp4_hd&template=654x368.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687504748&ssig=8k3eFGd4%2Bv&KID=unistore,video",
4863533479627150,MqENlEosC,1958129523,武城交警大队,【希望用不到但一定要知道！如何在第一时间科学避震】#新疆沙雅6.1级地震#地震发生后，怎样抓住预警为逃生避险赢得的宝贵时间？家庭、学校、户外、野外避震分别该怎么做？#新疆地震##新疆地震多地震感强烈#,,,,"新疆沙雅6.1级地震,新疆地震,新疆地震多地震感强烈",0,3,2,2023-01-30 08:56,微博网页版,"['https://wx3.sinaimg.cn/large/74b6af73ly1hale7qfxppj20dw0gomz0.jpg', 'https://wx1.sinaimg.cn/large/74b6af73ly1hale7qjcfyj20dw0godhv.jpg', 'https://wx1.sinaimg.cn/large/74b6af73ly1hale7qpnaej20dw0go40a.jpg', 'https://wx2.sinaimg.cn/large/74b6af73ly1hale7qtc82j20dw0go76h.jpg', 'https://wx4.sinaimg.cn/large/74b6af73ly1hale7r07wdj20dw0jg775.jpg', 'https://wx4.sinaimg.cn/large/74b6af73ly1hale7r3xaaj20dw0gojt6.jpg', 'https://wx4.sinaimg.cn/large/74b6af73ly1hale7r8czij20dw0go0uh.jpg', 'https://wx2.sinaimg.cn/large/74b6af73ly1hale7rbsquj20dw0gotal.jpg', 'https://wx2.sinaimg.cn/large/74b6af73ly1hale7reqjlj20dw0goacd.jpg']",,
4863533454461557,MqENjiIEB,7741347648,偷心小爱神-,#新疆地震#平安就好,,,,新疆地震,0,0,2,2023-01-30 08:56,小耀送的Android,,,
4863533450530808,MqENj2e5q,1681029540,新民周刊,#新疆地震#【#新疆沙雅6.1级地震#】@中国地震台网正式测定：今天07时49分在新疆阿克苏地区沙雅县（北纬40.01度，东经82.29度）发生6.1级地震，震源深度50千米。提示：震中附近的朋友注意安全，小心强余震。愿平安！（央视新闻）,,,中国地震台网,"新疆地震,新疆沙雅6.1级地震",1,0,0,2023-01-30 08:56,,['https://wx4.sinaimg.cn/large/001PLqzGly1hale7onvdcj60m80go40e02.jpg'],,
4863533441352913,MqENi5FXb,6587633798,崇义宣传,#新疆地震#【#新疆沙雅6.1级地震#】@中国地震台网正式测定：今天07时49分在新疆阿克苏地区沙雅县（北纬40.01度，东经82.29度）发生6.1级地震，震源深度50千米。提示：震中附近的朋友注意安全，小心强余震。愿平安！,,,中国地震台网,"新疆地震,新疆沙雅6.1级地震",0,0,0,2023-01-30 08:56,微博网页版,['https://wx1.sinaimg.cn/large/007bP2u2gy1hale7nasgxj30m80godjl.jpg'],,
4863533365333120,MqENamno4,5247972312,东方红人民法院,#东方正红播报##新疆地震#【#新疆沙雅6.1级地震#】@中国地震台网正式测定：今天07时49分在新疆阿克苏地区沙雅县（北纬40.01度，东经82.29度）发生6.1级地震，震源深度50千米。提示：震中附近的朋友注意安全，小心强余震。愿平安！#新疆地震多地震感强烈#via.央视新闻视频：L中国新闻网的微博视频,,,中国地震台网,"东方正红播报,新疆地震,新疆沙雅6.1级地震,新疆地震多地震感强烈",11,60,43,2023-01-30 08:56,微博视频号,,"http://f.video.weibocdn.com/o0/NH99XqMLlx082KtYHHu0010412001qq90E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687504748&ssig=t2QLqmFqwV&KID=unistore,video",
4863533348816449,MqEN8AZyN,1996074227,瓷都晚报,【#消防已赶往新疆沙雅地震震中#】地震发生后，新疆阿克苏沙雅县消防救援大队前突力量2车10人已赶赴震中踏勘，新疆消防救援总队、新疆森林消防总队共1500人、36犬已就地集结，做好出动准备。据了解，震中20公里范围内人口极其稀少，目前未接到无人员伤亡或房屋倒塌相关警情。#新疆沙雅6.1级地震##新疆地震多地震感强烈#（中国消防）L中国消防的微博视频,,,,"消防已赶往新疆沙雅地震震中,新疆沙雅6.1级地震,新疆地震多地震感强烈",0,0,0,2023-01-30 08:56,微博视频号,,"http://f.video.weibocdn.com/o0/SKdVheWrlx082Kw2YRAc010412001jnc0E010.mp4?label=mp4_hd&template=654x368.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687504748&ssig=8k3eFGd4%2Bv&KID=unistore,video",
4863566060983642,MqFDU47Tc,3194947380,凤凰网山东,#新疆地震#【#新疆沙雅6.1级地震#】中国地震台网正式测定：1月30日07时49分在新疆阿克苏地区沙雅县（北纬40.01度，东经82.29度）发生6.1级地震，震源深度50千米。L果然视频的微博视频via.果然视频,,,,"新疆地震,新疆沙雅6.1级地震",0,0,0,2023-01-30 11:06,iPhone客户端,,"http://f.video.weibocdn.com/o0/9LJPCcdvlx082Kzh96mY010412001lM80E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687504818&ssig=zvTCIJSFXK&KID=unistore,video",
