id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.91609E+15,N6KFyvbB2,5103377835,阆中公安,【地震发生时的自救措施】遇到地震千万别慌张，这些逃生常识要记牢！只有掌握基本防震避险常识，遇事才能不慌乱，从而确保安全！#北部湾发生5级地震#,,,,北部湾发生5级地震,0,0,0,2023/6/24 9:52,HUAWEI Mate 40 Pro,['https://wx4.sinaimg.cn/large/005znfHJly1hf92o8jkzpj30qo3ji4mt.jpg'],,
4.91609E+15,N6KFyrTEO,5540657236,声声声慢慢慢,#广西地震#昨晚半夜就是被摇醒的，听见窗户抖了，看了空调的指示灯，前后摇晃幅度还挺大。睡得迷迷糊糊脑子还有点懵，持续了好几秒，才想起“哦，地震！”。在“起床跑/继续躺着”中选了躺着，看了手机03：08，又睡着了💤,,,,广西地震,0,1,0,2023/6/24 9:52,荣耀20i,,,
4.91609E+15,N6KFxh3Ox,7761614436,临朐县融媒体中心,【#北部湾5.0级地震#，震源深度20千米】#北部湾发生5级地震#中国地震台网正式测定：06月24日03时07分在北部湾（北纬20.72度，东经109.07度）发生5.0级地震，震源深度20千米。震中距海岸线最近约64公里。距广西北海市85公里，距广东雷州市109公里，距海口市155公里。央视新闻O北部湾发生5.0级地震，震源深度20千米,,,,"北部湾5.0级地震,北部湾发生5级地震",1,1,3,2023/6/24 9:52,,,,
4.91609E+15,N6KFw8pmh,5985577687,小王不睡懒觉w,#海口地震#昨晚趴在床上看手机感受到了！还以为什么情况床一直震动,,,,海口地震,0,0,3,2023/6/24 9:52,HUAWEI Mate30 Pro 5G,,,
4.91615E+15,N6M3a3y2P,7192728915,KiKi是个起名废,#海口地震#没有感觉,,,,海口地震,0,0,0,2023/6/24 13:23,,,,
4.91615E+15,N6M36uAka,7389581977,心脏地震,#心脏安利#「孤山-一周穿搭Look」让脏脏康康还有谁不会穿搭！一星期不重样直接安排~♡「巻+関」啾一个宝贝穿孤山哦（7.14）#转发抽奖##新品上新##心脏地震超话#,,,,"心脏安利,转发抽奖,新品上新,心脏地震超话",176,27,57,2023/6/24 13:23,微博网页版,"['https://wx1.sinaimg.cn/large/00845VQ5gy1he99bsrrmoj32c03407wj.jpg', 'https://wx2.sinaimg.cn/large/00845VQ5gy1he99bxofepj32c03407wj.jpg', 'https://wx4.sinaimg.cn/large/00845VQ5gy1he99bpvxx2j32c0340hdu.jpg', 'https://wx3.sinaimg.cn/large/00845VQ5gy1he99bosuolj32c03404qq.jpg', 'https://wx2.sinaimg.cn/large/00845VQ5gy1he99c01ixcj32c03401kz.jpg', 'https://wx1.sinaimg.cn/large/00845VQ5gy1he99bv9pdvj32c03404qr.jpg']",,
4.91615E+15,N6M2KkXt6,7819691122,別張著嘴索吻像隻渴水的魚,凌晨三点地震，震得其实蛮厉害但我还以为是室友在晃床……,,,,,0,0,0,2023/6/24 13:22,罵街的魚Android,,,
4.91615E+15,N6M2fFnuT,7558551949,手捣青提柠,#广东地震#没感觉……,,,,广东地震,0,0,1,2023/6/24 13:20,真我V3 5G,,,
4.91615E+15,N6M28dT1G,3789161383,无花果树没有花,#海南地震#就昨天玩游戏睡得晚些，感觉到晃动之后我妹问我是不是在抖腿,,,,海南地震,0,0,0,2023/6/24 13:20,iPhone客户端,,,
4.91615E+15,N6M21dUZf,7433703756,炆姰颂,#广东地震#啊？真的……吗,,,,广东地震,0,0,1,2023/6/24 13:20,OPPO K9s 5G,,,
4.91615E+15,N6M20xSZd,2289599145,大连事儿哥,"“不撤离!只要我还在，就一定能接起电话!""还记得这段录音吗_记录下地震瞬间的生死抉择，令人动容!L大连事儿哥的微博视频",,,,,42,26,50,2023/6/24 13:20,微博视频号,,"http://f.video.weibocdn.com/o0/EQp0Fgpnlx086u64grE4010412008kdr0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687698420&ssig=O6nfUIcTXX&KID=unistore,video",
4.91615E+15,N6M1RokIB,5867820586,盯着杨幂唱征服,#广东地震#没感觉睡死了,,,,广东地震,0,0,2,2023/6/24 13:19,OPPO K3 硬核少年,,,
